,n=5,n=4,n=3,n=2
"(0,1)",18.31098071415117,18.31098071415117,18.31098071415117,18.31098071415117
"(1,0)",21.83281710995324,21.83281710995324,21.83281710995324,21.83281710995324
"(1,1)",14.575231548843327,14.575231548843327,14.575231548843327,14.575231548843327
"(0,2)",17.877560060368292,17.877560060368292,17.877560060368292,9.33608888836811
"(2,0)",16.1956298153487,16.1956298153487,16.1956298153487,8.333529720580323
"(1,2)",11.98723035961411,11.98723035961411,11.98723035961411,7.455401919728921
"(2,1)",12.711960222286267,12.711960222286267,12.711960222286267,7.439948164543275
"(2,2)",12.214650450635279,12.214650450635279,12.214650450635279,5.681808405313427
"(0,3)",12.405070794805429,12.405070794805429,8.62871934826417,3.997779065907403
"(3,0)",10.430800537321705,10.430800537321705,7.309137951532419,3.6672561753007593
"(1,3)",7.8240860457035595,7.8240860457035595,5.045261142323865,2.3741771179285
"(3,1)",8.051692542362975,8.051692542362975,5.4617163901490295,2.826229914203482
"(2,3)",8.804471143131687,8.804471143131687,6.944298343086508,2.7499211054223927
"(3,2)",7.7774466023870055,7.7774466023870055,5.828321112135459,2.4160748514746366
"(3,3)",6.360546394577238,6.360546394577238,3.840186792314304,0.9637910871698518
"(0,4)",9.997110397770538,8.267106328645502,7.113365214807176,3.9124329360637256
"(4,0)",7.706722251865905,6.083833274771811,5.606182987607145,3.1861057034183737
"(1,4)",4.039410247545073,2.4875265709800365,2.6142204115431222,1.2136193281119478
"(4,1)",4.838427045680749,3.4344842742263126,3.363089393694796,1.9062017560282363
"(2,4)",5.953919968935817,4.662677179546238,4.576185832485624,2.3634299342117693
"(4,2)",4.2298943212184525,3.1126126288195666,3.123367781435349,1.878314229320155
"(3,4)",5.651343560352706,4.630047358188549,3.2727904345299264,0.9993703343042726
"(4,3)",4.8455919752446,3.6814870800822352,2.855580536842761,0.9872643680895132
"(4,4)",3.62251723400413,1.985599264732929,2.1987054424110863,0.9820067831620816
others,1.0548610482529974,1.2993497163135803,0.8655332551854023,0.32874335512430575
