,n=5,n=4,n=3,n=2
"(0,1)",13.304469953836652,13.304469953836652,13.304469953836652,13.304469953836652
"(1,0)",18.93647557137925,18.93647557137925,18.93647557137925,18.93647557137925
"(1,1)",14.089218235491474,14.089218235491474,14.089218235491474,14.089218235491474
"(0,2)",15.000247987068438,15.000247987068438,15.000247987068438,7.264654836326878
"(2,0)",14.237190550211032,14.237190550211032,14.237190550211032,7.197687524317997
"(1,2)",13.177248822868115,13.177248822868115,13.177248822868115,8.080764997586842
"(2,1)",15.657188601463623,15.657188601463623,15.657188601463623,9.092707040388447
"(2,2)",12.187833791437264,12.187833791437264,12.187833791437264,5.5721294502694025
"(0,3)",9.505364917855918,9.505364917855918,5.6540630894848505,2.1982069839418528
"(3,0)",10.532887317475604,10.532887317475604,7.000626751549954,3.1593199705799324
"(1,3)",7.1938538929629425,7.1938538929629425,5.03860732082122,2.852187797705341
"(3,1)",8.805758492791572,8.805758492791572,6.262692581620555,3.304267909342018
"(2,3)",8.730505207302064,8.730505207302064,6.960075093428674,3.0422565470732743
"(3,2)",9.071812245536792,9.071812245536792,6.707622538875024,2.352466486680993
"(3,3)",6.249918271611077,6.249918271611077,3.451860445459254,0.563551190499767
"(0,4)",10.31349950705236,8.154483625363174,6.660327467979199,3.3331724115276407
"(4,0)",6.65144813631422,4.741151591400383,4.133553367885268,1.919856472585979
"(1,4)",4.924923299408657,3.5599073861647956,3.5661662482345036,2.572541945148621
"(4,1)",6.963744936676952,5.623877382290077,4.747606907891367,2.5265340722358753
"(2,4)",6.914780421888144,5.855675189956877,5.738488342343606,2.5224257294542474
"(4,2)",6.1619133807130355,4.756543450346296,4.481461361131533,2.3238273699662804
"(3,4)",5.139548050134357,4.226698692036002,2.944382737791673,0.8735258101995935
"(4,3)",4.241351728740228,3.0599503903877667,2.697134536959489,0.9607455069100879
"(4,4)",4.215482301142304,2.2637960838362003,2.737270334469044,1.2825181921829354
others,0.7165647745888348,0.7828477163484227,0.5077563959221765,0.18386315095029193
